=== RU (Google Ukraine) ===
  онлифанс это                           vol=6600  comp=LOW  cpc=0.74
  онлифанс работа                        vol=1600  comp=MEDIUM  cpc=0.61
  что такое онлифанс                     vol=1300  comp=LOW  cpc=0.73
  работа онлифанс                        vol=320  comp=MEDIUM  cpc=0.7
  как заработать на онлифанс             vol=210  comp=LOW  cpc=0.75
  онлифанс агентство                     vol=170  comp=LOW  cpc=0.94
  онлифанс регистрация                   vol=140  comp=LOW  cpc=1.51
  онлифанщица                            vol=110  comp=LOW  cpc=None
  онлифанс киев                          vol=110  comp=LOW  cpc=0.62
  модель onlyfans                        vol=110  comp=LOW  cpc=0.4
  сколько зарабатывают на онлифанс       vol=70  comp=LOW  cpc=None
  заработок онлифанс                     vol=30  comp=LOW  cpc=None
  онлифанс отзывы                        vol=20  comp=LOW  cpc=None
  как вывести деньги с онлифанс          vol=20  comp=LOW  cpc=None
  онлифанс без лица                      vol=10  comp=LOW  cpc=None
  как стать моделью онлифанс             vol=10  comp=LOW  cpc=1.4
  стоит ли начинать онлифанс             vol=n/a  comp=None  cpc=None
  работа моделью онлифанс                vol=n/a  comp=None  cpc=None
  онлифанс налоги                        vol=n/a  comp=None  cpc=None
  онлифанс агентство украина             vol=n/a  comp=None  cpc=None

=== RU (Google Ukraine) ===

=== UK (Google Ukraine) ===
  онліфанс                             vol=22200  comp=LOW  cpc=0.8
  що таке онліфанс                     vol=1900  comp=LOW  cpc=None
  робота онліфанс                      vol=140  comp=MEDIUM  cpc=0.66
  як заробити на онліфанс              vol=110  comp=LOW  cpc=0.25
  онліфанщиця                          vol=70  comp=LOW  cpc=None
  скільки заробляють на онліфанс       vol=50  comp=LOW  cpc=None
  онліфанс реєстрація                  vol=50  comp=LOW  cpc=1.66
  онліфанс агенція                     vol=50  comp=LOW  cpc=0.7
  чи варто починати онліфанс           vol=n/a  comp=None  cpc=None
  робота моделлю onlyfans              vol=n/a  comp=None  cpc=None
  онліфанс київ                        vol=n/a  comp=None  cpc=None
  онліфанс агентство                   vol=n/a  comp=None  cpc=None
  заробіток онліфанс                   vol=n/a  comp=None  cpc=None
